dataset_type,category,label,risk,subject,message,contains_url,contains_phone,contains_email,contains_upi,contains_money,contains_otp,contains_urgency,contains_kyc,contains_reward,contains_social_engineering,contains_qr,contains_job_keywords,contains_salary,contains_registration_fee,contains_bank_name,contains_deadline,contains_telegram,contains_apk_link,contains_crypto,contains_refund,contains_collect_request,trust_score,risk_level
email,credential_theft,credential_theft,CRITICAL,Password Expiring Today,"
Your banking password expires today.

Reset Password:

https://verify-bank-now.com

Failure to reset will lock your account.
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,60,LOW
email,government_scam,government_scam,HIGH,NPCI Verification Required,"
NPCI requires immediate verification.

Verify here:

https://reward-center.xyz
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
email,digilocker_scam,digilocker_scam,HIGH,DigiLocker Verification Required,"
Dear User,

Your DigiLocker account needs verification.

Complete verification now.

https://reward-center.xyz
",1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
email,banking_phishing,phishing,HIGH,URGENT: ICICI Bank Account Suspended,"
Dear Customer,

Your IndusInd Bank account has been
temporarily suspended due to unusual activity.

Verify immediately:

https://wallet-verify.net

Failure to verify within 24 hours will
permanently block your account.
",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,60,LOW
email,legitimate,legitimate,SAFE,Transaction Successful,"
Dear Customer,

Your payment of ₹5,000 has been processed successfully.

Reference Bank:
Yes Bank

No action is required.

Thank you.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,SAFE
email,kyc_scam,kyc_scam,HIGH,PAN Verification Required,"
Dear User,

Your PAN verification is pending.

Submit details immediately.

https://reward-center.xyz
",1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,LOW
email,courier_scam,courier_scam,HIGH,Parcel Delivery Failed,"
Your parcel delivery failed.

Reschedule delivery.

https://kyc-update.live
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
email,refund_scam,refund_scam,HIGH,Bank Refund Failed,"
Refund processing failed.

Update account immediately.

https://wallet-verify.net
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,60,LOW
email,reward_scam,reward_scam,HIGH,Exclusive Cashback,"
Limited Time Offer.

Claim cashback before it expires.

https://secure-login-now.in
",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,45,MEDIUM
email,business_email_compromise,business_email_compromise,CRITICAL,Confidential Transfer,"
I am in an important meeting.

Transfer ₹999 immediately.

Do not discuss this with anyone.

CEO
",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,SAFE
email,legitimate,legitimate,SAFE,Monthly Account Statement,"
Dear Customer,

Your monthly account statement is ready.

Please login using the official portal:

https://axisbank.com

Thank you.

Union Bank of India
",1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,75,LOW
email,income_tax_scam,income_tax_scam,HIGH,IT Department Notice,"
A notice has been issued against your PAN.

View immediately.

https://kyc-update.live
",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,LOW
email,legitimate,legitimate,SAFE,Payment Confirmation,"
Dear Customer,

Your UPI payment via Paytm of
₹2,999 has been completed.

Thank you.

Freecharge
",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
email,courier_scam,courier_scam,HIGH,Package Held At Warehouse,"
Your package has been held.

Pay customs charges now.

https://kyc-update.live
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,SAFE
email,reward_scam,reward_scam,HIGH,Congratulations! Reward Won,"
You have won a cashback of
₹2,999.

Claim reward immediately.

https://upi-security-alert.in
",1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
email,digilocker_scam,digilocker_scam,HIGH,Documents Locked,"
Your government documents have been locked.

Unlock immediately.

https://wallet-verify.net
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
email,lottery_scam,lottery_scam,CRITICAL,"You Won ₹25,00,000","
Congratulations.

You have won ₹25,00,000.

Pay processing charges.

https://secure-login-now.in
",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,LOW
email,crypto_scam,crypto_scam,CRITICAL,Bitcoin Giveaway,"
Congratulations.

Receive free Bitcoin.

Register immediately.

https://kyc-update.live
",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,65,LOW
email,credential_theft,credential_theft,CRITICAL,Microsoft Login Alert,"
Someone attempted to access your account.

Verify ownership immediately.

https://wallet-verify.net
",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
email,credential_theft,credential_theft,CRITICAL,Identity Verification Required,"
We could not verify your identity.

Confirm your login credentials now.

https://verify-bank-now.com
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
email,employment_scam,employment_scam,HIGH,Work From Home Opportunity,"
Earn up to ₹25,000/month.

Registration Fee:

₹50,000

Limited vacancies.
",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,85,SAFE
email,reward_scam,reward_scam,HIGH,Congratulations! Reward Won,"
You have won a cashback of
₹1,500.

Claim reward immediately.

https://upi-security-alert.in
",1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,MEDIUM
email,banking_phishing,phishing,HIGH,Immediate Verification Required,"
Security Alert.

We detected suspicious login attempts.

Verify your account:

https://wallet-verify.net

Failure may result in permanent suspension.
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
email,aadhaar_scam,aadhaar_scam,HIGH,Aadhaar KYC Failed,"
Your Aadhaar verification failed.

Complete KYC within 12 hours.

https://wallet-verify.net
",1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,60,LOW
email,refund_scam,refund_scam,HIGH,Refund Initiated,"
Refund of ₹25,000 is waiting.

Complete verification.

https://kyc-update.live
",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,SAFE
email,banking_phishing,phishing,HIGH,Customer Verification Pending,"
Dear User,

Your customer verification is incomplete.

Complete verification immediately:

https://account-safe.co

Your account will otherwise be frozen.
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
email,legitimate,legitimate,SAFE,Payment Confirmation,"
Dear Customer,

Your UPI payment via CRED of
₹25,000 has been completed.

Thank you.

Mobikwik
",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,SAFE
email,electricity_bill_scam,electricity_bill_scam,HIGH,Final Payment Reminder,"
Immediate action required.

Failure to pay today will disconnect
your electricity connection.

https://upi-security-alert.in
",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,60,LOW
email,electricity_bill_scam,electricity_bill_scam,HIGH,Final Payment Reminder,"
Immediate action required.

Failure to pay today will disconnect
your electricity connection.

https://wallet-verify.net
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,60,LOW
email,aadhaar_scam,aadhaar_scam,HIGH,Aadhaar Suspension Notice,"
Dear Citizen,

Your Aadhaar has been temporarily suspended.

Verify immediately.

https://verify-bank-now.com

UIDAI Team
",1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
email,electricity_bill_scam,electricity_bill_scam,HIGH,Electricity Connection Will Be Disconnected,"
Dear Consumer,

Your electricity bill remains unpaid.

Pay immediately.

https://wallet-verify.net
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,LOW
email,courier_scam,courier_scam,HIGH,Courier Address Verification,"
Verify your address.

https://verify-bank-now.com

Failure will return your parcel.
",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,LOW
email,refund_scam,refund_scam,HIGH,Refund Initiated,"
Refund of ₹1,500 is waiting.

Complete verification.

https://secure-login-now.in
",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,75,LOW
